Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,-70.79,63.805,-90.0,top
C10,4.7u,C_0402_1005Metric,-65.71,51.105,0.0,top
C11,100n,C_0402_1005Metric,-60.63,56.185,-90.0,top
C12,100n,C_0402_1005Metric,-65.71,61.265,180.0,top
C13,100n,C_0402_1005Metric,-70.795,58.585,-90.0,top
C14,100n,C_0402_1005Metric,-60.63,53.645,-90.0,top
C15,100n,C_0402_1005Metric,-70.795,53.785,-90.0,top
C16,100n,C_0402_1005Metric,-63.17,51.105,180.0,top
C17,100n,C_0402_1005Metric,-60.63,58.725,-90.0,top
C18,100n,C_0402_1005Metric,-68.25,51.105,180.0,top
C3,15p,C_0402_1005Metric,-66.98,48.565,0.0,top
C4,15p,C_0402_1005Metric,-64.44,48.565,180.0,top
C6,4.7u,C_0402_1005Metric_small_pads,-63.71,60.785,0.0,top
C7,4.7u,C_0402_1005Metric_small_pads,-63.71,61.735,0.0,top
C8,100n,C_0402_1005Metric,-70.79,56.185,-90.0,top
C9,4.7u,C_0402_1005Metric,-61.9,61.265,-90.0,top
J2,USB_C_Receptacle,USB-C_16,-65.71,71.1275,180.0,top
L1,3.3u,L_pol_2016,-63.71,63.385,0.0,top
R1,5.1k,R_0402_1005Metric,-63.805,66.98,-90.0,top
R2,1k,R_0402_1005Metric,-64.44,49.835,0.0,top
R3,5.1k,R_0402_1005Metric,-67.615,66.98,-90.0,top
R4,1k,R_0402_1005Metric,-60.63,51.105,180.0,top
R5,33,R_0402_1005Metric,-61.9,63.17,-90.0,top
R6,1k,R_0402_1005Metric,-70.79,51.105,0.0,top
R7,27,R_0402_1005Metric,-66.345,66.98,-90.0,top
R8,27,R_0402_1005Metric,-65.075,66.98,-90.0,top
SW1,SW_Push,SW_SPST_TS-1088-xR020,-70.155,47.295,90.0,top
SW2,SW_Push,SW_SPST_TS-1088-xR020,-61.265,47.295,-90.0,top
U1,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,-65.71,56.185,0.0,top
U2,NCP1117-3.3_SOT223,SOT-23-3,-68.25,63.805,90.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,-65.71,46.025,0.0,top
